You have loaded an FP4 model on CPU and have a CUDA/XPU device available, make sure to set your model on a GPU/XPU device in order to run your model. To remove this warning, pass device_map = 'cuda' or device_map = 'xpu'. 
Fetching 41 files:   0%|          | 0/41 [00:00<?, ?it/s]Fetching 41 files: 100%|██████████| 41/41 [00:00<00:00, 13849.28it/s]
Loading checkpoint shards:   0%|          | 0/3 [00:00<?, ?it/s]
Fetching 41 files:   0%|          | 0/41 [00:00<?, ?it/s][AFetching 41 files: 100%|██████████| 41/41 [00:00<00:00, 19508.39it/s]
Loading checkpoint shards:  33%|███▎      | 1/3 [00:00<00:01,  1.29it/s]Loading checkpoint shards:  67%|██████▋   | 2/3 [00:01<00:00,  1.62it/s]Loading checkpoint shards: 100%|██████████| 3/3 [00:01<00:00,  2.33it/s]Loading checkpoint shards: 100%|██████████| 3/3 [00:01<00:00,  2.01it/s]
2026-07-01 19:26:09,105 sample_targets sampled 2384 / 10000
2026-07-01 19:26:12,038 sample_targets sampled 2392 / 10000
2026-07-01 19:26:14,973 sample_targets sampled 2400 / 10000
2026-07-01 19:26:17,912 sample_targets sampled 2408 / 10000
2026-07-01 19:26:20,850 sample_targets sampled 2416 / 10000
2026-07-01 19:26:23,790 sample_targets sampled 2424 / 10000
2026-07-01 19:26:26,733 sample_targets sampled 2432 / 10000
2026-07-01 19:26:29,822 sample_targets sampled 2440 / 10000
2026-07-01 19:26:32,729 sample_targets sampled 2448 / 10000
2026-07-01 19:26:35,648 sample_targets sampled 2456 / 10000
2026-07-01 19:26:38,569 sample_targets sampled 2464 / 10000
2026-07-01 19:26:41,494 sample_targets sampled 2472 / 10000
2026-07-01 19:26:44,429 sample_targets sampled 2480 / 10000
2026-07-01 19:26:47,361 sample_targets sampled 2488 / 10000
2026-07-01 19:26:50,300 sample_targets sampled 2496 / 10000
2026-07-01 19:26:53,257 sample_targets sampled 2504 / 10000
2026-07-01 19:26:56,199 sample_targets sampled 2512 / 10000
2026-07-01 19:26:59,157 sample_targets sampled 2520 / 10000
2026-07-01 19:27:02,088 sample_targets sampled 2528 / 10000
2026-07-01 19:27:05,016 sample_targets sampled 2536 / 10000
2026-07-01 19:27:07,944 sample_targets sampled 2544 / 10000
2026-07-01 19:27:10,879 sample_targets sampled 2552 / 10000
2026-07-01 19:27:13,815 sample_targets sampled 2560 / 10000
2026-07-01 19:27:16,745 sample_targets sampled 2568 / 10000
2026-07-01 19:27:19,826 sample_targets sampled 2576 / 10000
2026-07-01 19:27:22,741 sample_targets sampled 2584 / 10000
2026-07-01 19:27:25,668 sample_targets sampled 2592 / 10000
2026-07-01 19:27:28,602 sample_targets sampled 2600 / 10000
2026-07-01 19:27:31,532 sample_targets sampled 2608 / 10000
2026-07-01 19:27:34,470 sample_targets sampled 2616 / 10000
2026-07-01 19:27:37,413 sample_targets sampled 2624 / 10000
2026-07-01 19:27:40,346 sample_targets sampled 2632 / 10000
2026-07-01 19:27:43,288 sample_targets sampled 2640 / 10000
2026-07-01 19:27:46,214 sample_targets sampled 2648 / 10000
2026-07-01 19:27:49,141 sample_targets sampled 2656 / 10000
2026-07-01 19:27:52,077 sample_targets sampled 2664 / 10000
2026-07-01 19:27:55,011 sample_targets sampled 2672 / 10000
2026-07-01 19:27:57,942 sample_targets sampled 2680 / 10000
2026-07-01 19:28:00,882 sample_targets sampled 2688 / 10000
2026-07-01 19:28:03,826 sample_targets sampled 2696 / 10000
2026-07-01 19:28:06,919 sample_targets sampled 2704 / 10000
2026-07-01 19:28:09,847 sample_targets sampled 2712 / 10000
2026-07-01 19:28:12,777 sample_targets sampled 2720 / 10000
2026-07-01 19:28:15,711 sample_targets sampled 2728 / 10000
2026-07-01 19:28:18,644 sample_targets sampled 2736 / 10000
2026-07-01 19:28:21,571 sample_targets sampled 2744 / 10000
2026-07-01 19:28:24,498 sample_targets sampled 2752 / 10000
2026-07-01 19:28:27,426 sample_targets sampled 2760 / 10000
2026-07-01 19:28:30,353 sample_targets sampled 2768 / 10000
2026-07-01 19:28:33,277 sample_targets sampled 2776 / 10000
2026-07-01 19:28:36,204 sample_targets sampled 2784 / 10000
2026-07-01 19:28:39,138 sample_targets sampled 2792 / 10000
